,games,wins,losses,draws,win_rate,avg_execution_time,avg_nodes_visited
Minimax vs Default,100.0,84.0,0.0,16.0,0.84,0.0,8.52
Minimax-AB vs Default,100.0,88.0,0.0,12.0,0.88,0.0,8.98
Q-Learning vs Default,100.0,8.0,68.0,24.0,0.08,1.3518333435058594e-05,
Minimax vs Q-Learning,100.0,100.0,0.0,0.0,1.0,0.0004789066314697266,121.8
Minimax-AB vs Q-Learning,100.0,99.0,0.0,1.0,0.99,0.0001736927032470703,58.83
